name,lat,lon,total,dates,charges,countries,gang
"Pembroke, GA",32.1360332,-81.6220566,55,04/29/25 - 05/14/26,"Dangerous Drugs, Family Offenses, Forgery, Fraudulent Activities, General Crimes, Immigration, Invasion of Privacy, Larceny, Liquor, Obstructing Judiciary, Congress, Legislature, Etc., Public Peace, Sexual Assault, Traffic Offenses","BRAZIL, CHILE, COLOMBIA, EL SALVADOR, GUATEMALA, HAITI, HONDURAS, MEXICO, NICARAGUA, SENEGAL, UKRAINE, VENEZUELA",
"La Fayette, GA",41.9326717,-87.6434264,55,03/27/25 - 05/01/26,"Assault, Flight / Escape, Forgery, General Crimes, Immigration, Larceny, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Public Peace, Traffic Offenses","COLOMBIA, GUATEMALA, HONDURAS, JAMAICA, MEXICO, NICARAGUA, VENEZUELA",
"Raymond, MS",32.2592783,-90.4225951,54,02/08/25 - 04/17/26,"Assault, Burglary, Dangerous Drugs, Family Offenses, Flight / Escape, Forgery, Fraudulent Activities, General Crimes, Homicide, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Traffic Offenses, Weapon Offenses","BELIZE, CUBA, DEM REP OF THE CONGO, EL SALVADOR, GUATEMALA, HONDURAS, MEXICO",
"Marfa, TX",30.3117621,-104.023146,53,01/31/25 - 02/18/26,"Assault, Burglary, Dangerous Drugs, Immigration, Smuggling","COLOMBIA, GUATEMALA, HONDURAS, MEXICO, UNITED STATES",
"Centerville, TN",35.7789565,-87.4669587,50,04/22/25 - 05/18/26,"Assault, Flight / Escape, Fraudulent Activities, General Crimes, Immigration, Liquor, Public Peace, Traffic Offenses","COLOMBIA, EL SALVADOR, GUATEMALA, HONDURAS, MEXICO, VENEZUELA",
"El Dorado, KS",37.8173015,-96.8537388,50,02/07/25 - 05/20/26,"Assault, Burglary, Dangerous Drugs, Flight / Escape, Forgery, Homicide, Immigration, Larceny, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Robbery, Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Stolen Property, Traffic Offenses, Weapon Offenses","CUBA, DEM REP OF THE CONGO, EL SALVADOR, GUATEMALA, HONDURAS, INDIA, KENYA, MEXICO, NICARAGUA, VENEZUELA",✅
"Clarion, IA",42.7317899,-93.7321871,49,02/01/25 - 05/13/26,"Assault, Dangerous Drugs, Forgery, Fraudulent Activities, General Crimes, Invasion of Privacy, Liquor, Public Peace, Sexual Assault, Traffic Offenses","GUATEMALA, HONDURAS, INDIA, MEXICO, SPAIN, VENEZUELA",
"Kuna, ID",43.4918307,-116.420122,49,02/26/25 - 05/20/26,"Assault, Burglary, Dangerous Drugs, Flight / Escape, Forgery, Homicide, Immigration, Kidnapping, Larceny, Obstructing Judiciary, Congress, Legislature, Etc., Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault, Traffic Offenses, Weapon Offenses","COLOMBIA, GUATEMALA, HONDURAS, IRAQ, LAOS, MARSHALL ISLANDS, MEXICO, ROMANIA",
"Colby, KS",39.3959655,-101.0526881,49,02/07/25 - 04/30/26,"Assault, Burglary, Dangerous Drugs, Flight / Escape, Forgery, Homicide, Immigration, Larceny, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Stolen Property, Traffic Offenses, Weapon Offenses","BRAZIL, COLOMBIA, EL SALVADOR, GUATEMALA, HONDURAS, MEXICO, NICARAGUA, RUSSIA, SENEGAL, VENEZUELA",✅
"Florence, AL",34.79981,-87.677251,47,01/23/25 - 04/29/26,"Assault, Burglary, Dangerous Drugs, Family Offenses, Fraudulent Activities, General Crimes, Liquor, Obstructing Judiciary, Congress, Legislature, Etc., Obstructing the Police, Sex Offenses (Not Involving Assault or Commercialized Sex), Stolen Vehicle, Traffic Offenses","BAHAMAS, EL SALVADOR, GUATEMALA, HONDURAS, INDIA, MEXICO, NICARAGUA",
