name,lat,lon,total,dates,charges,countries,gang
"Virginia, WA",47.7073171,-122.6373682,2,08/15/25 - 08/15/25,Assault,GUATEMALA,
"Montgomery, MO",38.9682313,-91.4821326,2,04/12/26 - 05/14/26,"Immigration, Robbery","CUBA, GUATEMALA",
"Mont Belview, TX",29.8477222,-94.890758,2,10/23/25 - 10/23/25,,"HONDURAS, MEXICO",
"Velva, ND",48.05612,-100.929317,2,09/22/25 - 09/22/25,,VENEZUELA,
"Perkasie, PA",40.372048,-75.292676,2,08/01/25 - 03/18/26,"Sex Offenses (Not Involving Assault or Commercialized Sex), Sexual Assault",MEXICO,
"Veronia, MS",39.9172055,-82.8882964,2,09/18/25 - 09/18/25,,"COLOMBIA, VENEZUELA",
"Greenfield, IA",41.3049135,-94.4610389,2,02/28/25 - 01/16/26,Traffic Offenses,"MEXICO, VENEZUELA",
"Greenwood Villiage, CO",39.6172101,-104.9508134,2,01/28/25 - 01/19/26,Traffic Offenses,"HONDURAS, MEXICO",
"Warners, NY",43.0853445,-76.3290977,2,11/20/25 - 12/15/25,,GUATEMALA,
"Waitsfield, VT",44.1926416,-72.822106,2,01/29/25 - 01/29/25,,UNITED STATES,
"Cookville, TN",37.6489316,-92.2098865,2,03/06/25 - 04/16/26,"Larceny, Traffic Offenses","GUATEMALA, MEXICO",
"Pattison, TX",29.8252297,-95.994956,2,10/09/25 - 10/09/25,,"HONDURAS, MEXICO",
"Conway, MO",37.5019888,-92.8210097,2,12/23/25 - 12/23/25,Immigration,GUATEMALA,
"Conroe, MT",30.3118769,-95.4560512,2,03/10/25 - 03/28/25,"Fraudulent Activities, Larceny","MEXICO, PANAMA",
"Colubiana, AL",33.1781718,-86.6072054,2,03/27/25 - 03/27/25,"Dangerous Drugs, Larceny",VENEZUELA,
"Ededn, TX",31.2161476,-99.8454772,2,12/07/25 - 12/08/25,"Immigration, Invasion of Privacy","COLOMBIA, HONDURAS",
"Vinton, IA",42.1679131,-92.0239504,2,11/11/25 - 04/20/26,"Sexual Assault, Traffic Offenses","HONDURAS, MEXICO",
"Barberton, OH",41.012833,-81.6051221,2,04/10/25 - 04/27/25,,"MEXICO, VENEZUELA",
"Barborsville, WV",38.4095298,-82.2945923,2,01/06/26 - 02/08/26,Immigration,"GUATEMALA, MEXICO",
"Bar Nunn, WY",42.913577,-106.343361,2,12/16/25 - 01/16/26,Immigration,"MEXICO, VENEZUELA",
"Park Forest, IL",41.4825788,-87.6802344,2,11/03/25 - 11/03/25,,VENEZUELA,
"Park  City, UT",40.6460921,-111.4979963,2,09/24/25 - 09/24/25,Immigration,MEXICO,
"Iron River, MI",46.0924697,-88.6426179,2,06/30/25 - 06/30/25,,UNITED STATES,✅
"Moonroeville, PA",40.4211798,-79.7881025,2,02/02/26 - 02/02/26,Larceny,MEXICO,
"Eastpoint, MI",43.621481,-84.197642,2,01/29/26 - 04/01/26,Immigration,"MEXICO, VENEZUELA",
"Pascagoula, LA",30.3476505,-91.1299879,2,05/12/25 - 05/14/25,"Public Peace, Traffic Offenses",GUATEMALA,
"Balitimore, MD",39.2908816,-76.610759,2,03/18/25 - 03/18/25,Immigration,"NICARAGUA, VENEZUELA",
"Eastville, VA",37.3526337,-75.9457726,2,05/08/25 - 08/21/25,"Assault, Kidnapping","CUBA, HONDURAS",
"Eaton, OH",39.7439398,-84.6364891,2,04/21/26 - 05/13/26,"Dangerous Drugs, Traffic Offenses",MEXICO,
"Monticello, MO",40.1183771,-91.7121074,2,06/18/25 - 04/11/26,Assault,"GUATEMALA, MEXICO",
"Mount Ida, AR",34.5576186,-93.6326383,2,07/10/25 - 01/21/26,"Assault, Public Peace",MEXICO,
"Paoli, IN",38.5561663,-86.468321,2,11/25/25 - 03/07/26,"Obstructing the Police, Traffic Offenses","GUATEMALA, MEXICO",
"Corpus  Christi, TX",27.7635302,-97.4033191,2,10/23/25 - 02/17/26,,"HONDURAS, MEXICO",
"Corpus Chrisit, TX",27.6895178,-97.3294122,2,01/28/25 - 08/17/25,,"COLOMBIA, NICARAGUA",
"Corpus Chrisiti, TX",27.7635302,-97.4033191,2,01/26/25 - 10/07/25,Assault,MEXICO,
"Cornelious, OR",45.5198001,-123.05562,2,11/20/25 - 12/01/25,Immigration,MEXICO,
"Eastlake, OH",41.6490337,-81.4378991,2,01/19/26 - 03/21/26,"Dangerous Drugs, Larceny","MEXICO, PERU",
"Indian  Springs, NV",36.5698965,-115.7032941,2,03/03/26 - 03/04/26,"Assault, Homicide","HONDURAS, MEXICO",
"Indian Trail, NC",35.0768141,-80.66923513,2,05/31/25 - 06/07/25,Assault,"MEXICO, UKRAINE",
"Wash, DC",38.8807084,-77.0082107,2,07/21/25 - 07/21/25,"Sexual Assault, Weapon Offenses","EL SALVADOR, HAITI",
"Paris, AR",35.2924747,-93.7294452,2,08/23/25 - 08/23/25,"Dangerous Drugs, Forgery",MEXICO,
"Industrial, WV",39.2781428,-80.5814865,2,03/03/25 - 02/07/26,"Dangerous Drugs, Traffic Offenses",MEXICO,
"Moticello, FL",30.5452022,-83.87016362,2,06/26/25 - 06/26/25,,"GUATEMALA, MEXICO",
"Palisaids Park, NJ",40.8481556,-73.997639,2,09/09/25 - 01/30/26,,GUATEMALA,
"Mountain Brk, AL",33.5019459,-86.7556834,2,09/18/25 - 01/13/26,,"HONDURAS, MEXICO",
"Palmett, FL",27.5214269,-82.5723193,2,01/28/25 - 04/23/25,"Assault, Dangerous Drugs",MEXICO,
"Moundsview, MN",45.1074458,-93.2152352,2,01/07/26 - 02/04/26,"Immigration, Threat","GUYANA, MEXICO",
"Washington, KS",39.7887478,-97.0917391,2,01/30/25 - 01/06/26,Assault,"GUATEMALA, MEXICO",
"Washingtion City, UT",37.1323804,-113.5040049,2,06/07/25 - 06/07/25,,GUATEMALA,
"Aspen, CO",39.1911128,-106.82356,2,02/20/25 - 04/28/26,Burglary,"CHILE, HONDURAS",✅
"Coshocton, OH",40.2905684,-81.9271441,2,12/27/25 - 04/10/26,"Invasion of Privacy, Traffic Offenses","HONDURAS, MEXICO",
"Idian Springs, NV",36.5698965,-115.7032941,2,10/21/25 - 10/28/25,"Assault, Stolen Vehicle","MEXICO, THAILAND",
"Imimpperial, CA",33.0305487,-115.3595666,2,12/23/25 - 01/19/26,Assault,"HONDURAS, MEXICO",
"Hyden, KY",37.1609254,-83.3732373,2,04/01/25 - 04/01/25,"Assault, Dangerous Drugs","DOMINICAN REPUBLIC, MEXICO",
"Hyrum, UT",41.63412,-111.8551944,2,05/29/25 - 05/29/25,,MEXICO,
"Ida Grove, IA",42.3449751,-95.4713576,2,10/10/25 - 12/21/25,"Flight / Escape, Traffic Offenses","CUBA, GUATEMALA",
"Hamiliton, OH",39.2085354,-84.5501874,2,07/23/25 - 07/24/25,"General Crimes, Traffic Offenses",MEXICO,
"Atwood, KS",39.806668,-101.042101,2,11/11/25 - 11/11/25,"Flight / Escape, Weapon Offenses",MEXICO,
"Attala, AL",33.0718948,-89.8519609,2,11/09/25 - 03/19/26,"Larceny, Traffic Offenses","HONDURAS, MEXICO",
"Waterville, ME",44.5505773,-69.6303174,2,05/21/25 - 12/12/25,Assault,"SOMALIA, UNITED STATES",
"Hurricaine, WV",38.4325896,-82.02013682,2,03/15/25 - 03/29/25,Traffic Offenses,"EL SALVADOR, MEXICO",
"Hurrican, UT",37.1750272,-113.2898881,2,02/07/25 - 03/20/26,,"MEXICO, SPAIN",
"Huntsville, TN",36.409801,-84.4904939,2,12/19/25 - 04/24/26,Traffic Offenses,"GUATEMALA, MEXICO",
"Wautoma, WI",44.0750502,-89.290193,2,09/17/25 - 02/16/26,"Obstructing Judiciary, Congress, Legislature, Etc., Traffic Offenses","MEXICO, NICARAGUA",
"Wauconda, IL",42.2589122,-88.1392474,2,10/18/25 - 10/19/25,Immigration,MEXICO,
"Hyattsvile, MD",38.9529442,-76.9408647,2,06/09/25 - 11/02/25,,"EL SALVADOR, GUATEMALA",
"Mount Vernon, IL",38.3172715,-88.9031201,2,09/04/25 - 11/07/25,"Assault, Obstructing the Police",MEXICO,
"Mount Rainer, MD",38.9364848,-76.9596981,2,05/08/25 - 11/04/25,,"EL SALVADOR, HONDURAS",
"Creston, IA",41.0585878,-94.361397,2,03/19/25 - 04/25/25,"Dangerous Drugs, Robbery","MEXICO, VENEZUELA",
"Crawfordvill, FL",30.1760358,-84.37517781,2,05/14/25 - 06/20/25,"Immigration, Traffic Offenses",MEXICO,
"Cowlik, AZ",32.0006272,-112.369859,2,04/08/26 - 04/08/26,,UNITED STATES,
"Ashton, WV",38.6242509,-82.1645889,2,05/08/26 - 05/08/26,,MEXICO,
"Moutain Brook, AL",33.5019459,-86.7556834,2,12/10/25 - 12/10/25,,EL SALVADOR,
"Crocket, TX",30.06774,-99.2836944,2,12/27/25 - 12/27/25,Traffic Offenses,MEXICO,
"Crestwood, MO",38.5587773,-90.3835408,2,11/21/25 - 11/21/25,"Commercialized Sexual Offenses, Immigration","CHINA, PEOPLES REPUBLIC OF",
"Cresteview, FL",30.7621326,-86.5705084,2,09/04/25 - 09/04/25,"Assault, Fraudulent Activities","JAMAICA, NICARAGUA",
"Hanover, MA",42.1131572,-70.8119859,2,09/15/25 - 09/16/25,"Assault, Immigration","BRAZIL, INDIA",
"West Hartford, CT",41.7620447,-72.7420399,2,12/21/25 - 03/06/26,Dangerous Drugs,"AFGHANISTAN, DOMINICAN REPUBLIC",
"West Collingswood, NJ",39.9062242,-75.0929517,2,01/02/26 - 04/03/26,"Obstructing Judiciary, Congress, Legislature, Etc.",MEXICO,
"West Branch, MI",44.276408,-84.238613,2,10/27/25 - 11/03/25,Traffic Offenses,"HONDURAS, MEXICO",
"Huger, SC",33.0965591,-79.803412,2,07/07/25 - 07/07/25,,UNITED STATES,
"Murfeesboro, TN",35.8460396,-86.39210961,2,08/13/25 - 04/02/26,Weapon Offenses,"GUATEMALA, MEXICO",
"Waunakee, WI",43.1919623,-89.4548402,2,04/21/25 - 04/25/25,,"UNITED STATES, VENEZUELA",
"Mt. Holly Springs, PA",40.1184235,-77.1899817,2,03/18/26 - 04/10/26,Traffic Offenses,"DOMINICAN REPUBLIC, HONDURAS",
"Mt. Gilead, OH",40.5492265,-82.8274015,2,04/03/26 - 04/29/26,"Traffic Offenses, Weapon Offenses","MEXICO, VENEZUELA",
"Hot Sulphur Springs, CO",40.0739511,-106.1064918,2,04/16/25 - 05/05/25,Assault,MEXICO,
"Harlingenhl, TX",26.1907543,-97.6960599,2,10/25/25 - 01/17/26,Traffic Offenses,MEXICO,
"Harper, OK",36.7804883,-99.6710032,2,10/10/25 - 11/18/25,,"MEXICO, VENEZUELA",
"Olaf, IA",42.8865473,-93.7251094,2,09/09/25 - 01/14/26,"Liquor, Sexual Assault","GUATEMALA, MEXICO",
"Olando, FL",28.5421109,-81.3790304,2,03/29/25 - 03/29/25,Traffic Offenses,"COLOMBIA, GUATEMALA",
"Dallas, WA",41.6744179,-94.0394437,2,03/20/26 - 03/26/26,Dangerous Drugs,"EL SALVADOR, MEXICO",
"West Point, VA",37.5315303,-76.7963566,2,05/09/25 - 11/24/25,Traffic Offenses,"GUATEMALA, MEXICO",
"E Boston, MA",42.3718183,-71.0281505,2,05/04/25 - 05/28/25,Dangerous Drugs,COLOMBIA,
"Onawa, IA",42.0268269,-96.0974618,2,05/02/25 - 10/01/25,"Assault, Traffic Offenses","MEXICO, NICARAGUA",
"Oneoneta, AL",33.9481537,-86.472764,2,04/16/25 - 04/16/25,General Crimes,MEXICO,
"Omaha, IA",43.3955188,-95.1530516,2,05/29/25 - 08/27/25,Assault,"EL SALVADOR, GUATEMALA",
"Wentworth, NC",36.4001371,-79.7744792,2,04/15/25 - 02/13/26,"Sexual Assault, Traffic Offenses","GUATEMALA, MEXICO",
"Wesley Chapel, NC",35.0070935,-80.6745131,2,05/12/25 - 05/12/25,,GUATEMALA,
"Wellington, TX",34.8559899,-100.2135865,2,05/30/25 - 09/12/25,"Dangerous Drugs, Traffic Offenses",MEXICO,
"Mt. Vernon, NY",40.9125085,-73.8386504,2,06/20/25 - 12/09/25,"Family Offenses, Weapon Offenses",JAMAICA,
"Alliance, NE",42.0971897,-102.8707145,2,11/07/25 - 01/08/26,"General Crimes, Traffic Offenses",MEXICO,
"Murfreesboror, TN",35.8460396,-86.39210961,2,03/08/26 - 05/05/26,"Assault, Obstructing Judiciary, Congress, Legislature, Etc.","GUATEMALA, MEXICO",
"Ogden, IA",42.0391745,-94.0309959,2,06/20/25 - 06/20/25,,"HONDURAS, NICARAGUA",
"Old Lyme, CT",41.3162517,-72.3296192,2,12/19/25 - 12/19/25,"Burglary, Traffic Offenses",COLOMBIA,
"Houston, TN",36.2696163,-87.7406571,2,06/26/25 - 12/27/25,,"HONDURAS, MEXICO",
"Westchester, CA",33.9597349,-118.400632,2,06/18/25 - 11/21/25,"Immigration, Smuggling","EL SALVADOR, UNITED STATES",
"N Billerica, MA",42.5852621,-71.2877645,2,05/21/25 - 06/06/25,"Assault, Traffic Offenses","BRAZIL, CUBA",
"Arab, AL",34.3181497,-86.4958219,2,07/30/25 - 03/11/26,"Forgery, Obstructing Judiciary, Congress, Legislature, Etc.","EL SALVADOR, MEXICO",
"Anderson, TX",31.7819242,-95.6258199,2,02/14/26 - 03/11/26,"Assault, Traffic Offenses",MEXICO,
"Harriosnburg, VA",38.4493315,-78.8688833,2,04/24/25 - 04/26/25,Dangerous Drugs,"EL SALVADOR, GUATEMALA",
"Alicevelle, AL",33.1293544,-88.1517162,2,05/06/25 - 05/06/25,"Dangerous Drugs, Immigration","JAMAICA, MEXICO",
"Alexandria Bay, NY",44.341962,-75.9168932,2,08/19/25 - 08/31/25,,"CANADA, UNITED STATES",
"Alton, IL",38.8908583,-90.1843091,2,01/25/25 - 01/07/26,"Assault, Immigration","CHINA, PEOPLES REPUBLIC OF, ROMANIA",
"Na, AZ",32.6446345,-111.4007273,2,10/16/25 - 02/12/26,,MEXICO,
"Nacognoches, TX",31.5970503,-94.5927451,2,01/29/25 - 01/29/25,,MEXICO,
"N. Las Vegas, NV",36.2005191,-115.1214745,2,07/05/25 - 03/31/26,"Sex Offenses (Not Involving Assault or Commercialized Sex), Traffic Offenses","GUATEMALA, MEXICO",
"N. Charleson, SC",32.8546197,-79.9748103,2,04/18/25 - 06/01/25,,"MEXICO, VENEZUELA",
"Harris, TX",29.8119769,-95.3741247,2,02/15/26 - 02/15/26,"Dangerous Drugs, General Crimes","EL SALVADOR, NIGERIA",
"Ocean Grove, NJ",40.2120564,-74.0075297,2,02/08/26 - 02/16/26,Sex Offenses (Not Involving Assault or Commercialized Sex),"BRAZIL, MEXICO",
"Hartville, MO",37.2484242,-92.5126763,2,07/28/25 - 11/20/25,Traffic Offenses,"GUATEMALA, UNITED STATES",
"Homeland, CA",33.7456205,-117.1077506,2,06/16/25 - 04/22/26,Dangerous Drugs,MEXICO,
"Norwqlk, OH",41.2424219,-82.6155745,2,01/22/26 - 01/22/26,Obstructing the Police,MEXICO,
"Northeast Washington, DC",38.9354135,-76.9920024,2,08/25/25 - 08/26/25,,"GUATEMALA, HONDURAS",
"Hauula, HI",21.59497,-157.9196434,2,10/16/25 - 05/01/26,,UNITED STATES,
"Du Bois, PA",39.9938139,-75.1749158,2,10/14/25 - 10/14/25,,"COSTA RICA, RUSSIA",
"Dover-Foxcroft, ME",45.183489,-69.2276,2,11/14/25 - 11/14/25,,UNITED STATES,✅
"Dover, OH",40.5213381,-81.4741475,2,04/02/26 - 04/02/26,,GUATEMALA,
"Westminister, CA",33.7577037,-118.0374455,2,06/17/25 - 06/17/25,Assault,MEXICO,
"O Fallon, IL",38.5922715,-89.9112124,2,06/06/25 - 08/14/25,,"INDIA, MEXICO",
"Davison, SD",43.6660467,-98.1383168,2,01/27/25 - 01/27/25,"Immigration, Traffic Offenses",GUATEMALA,
"Winterhaven, FL",29.1043273,-80.9413695,2,09/05/25 - 04/24/26,"Fraudulent Activities, Traffic Offenses","GUATEMALA, HAITI",
"Winterset, IA",41.3347631,-94.0135687,2,10/17/25 - 04/10/26,"Larceny, Traffic Offenses","GUATEMALA, HONDURAS",
"Winston-Salem, GA",36.0998131,-80.2440518,2,01/16/26 - 02/11/26,"Assault, Dangerous Drugs","GUATEMALA, MEXICO",
"Hildago, TX",31.0600497,-97.7338138,2,02/20/26 - 05/10/26,Assault,MEXICO,
"Highpoint, NC",35.0104095,-78.9818747,2,01/29/25 - 11/24/25,"Assault, Traffic Offenses","GUATEMALA, HONDURAS",
"Decorah, IA",43.3041609,-91.7859098,2,10/08/25 - 01/08/26,"General Crimes, Traffic Offenses",GUATEMALA,
"North Plainfeild, NJ",40.6208476,-74.4279801,2,11/30/25 - 01/31/26,Traffic Offenses,"COLOMBIA, GUATEMALA",
"Winter Heaven, FL",28.0222435,-81.7328568,2,09/25/25 - 12/26/25,"Dangerous Drugs, Traffic Offenses","HAITI, MEXICO",
"Dorcester, MA",42.2973205,-71.07449519,2,05/12/25 - 05/19/25,Assault,HAITI,
"New Auburn, WI",45.2039571,-91.5599756,2,03/19/26 - 03/19/26,"Dangerous Drugs, Flight / Escape",MEXICO,
"Alleghany, NY",42.1009508,-78.8614286,2,06/05/25 - 06/05/25,,ECUADOR,
"Dell Valle, TX",26.1221936,-98.1859955,2,02/22/25 - 05/15/26,"Sexual Assault, Traffic Offenses","CUBA, MEXICO",
"Winton, NC",36.3957098,-76.9319035,2,01/26/25 - 01/26/25,"Flight / Escape, Fraudulent Activities","CHINA, PEOPLES REPUBLIC OF",
"North Cheasterfield, VA",37.5056125,-77.6087021,2,06/19/25 - 06/19/25,,"GHANA, VENEZUELA",
"De Witt, AR",34.2928774,-91.3378987,2,04/16/26 - 04/16/26,"Assault, Flight / Escape",MEXICO,
"Deleware, OH",41.6524738,-82.812841,2,02/13/26 - 04/11/26,"Dangerous Drugs, Traffic Offenses",MEXICO,
"New Carrolltn, MD",38.9698329,-76.8799727,2,12/14/25 - 12/14/25,,MEXICO,
"New Braunfel, TX",29.7028266,-98.12573481,2,06/25/25 - 06/25/25,,"MEXICO, VENEZUELA",
"New Braunsfels, TX",29.7028266,-98.12573481,2,10/21/25 - 04/17/26,Assault,"CUBA, MEXICO",
"New Augusta, MS",31.2024033,-89.0347743,2,03/06/25 - 02/24/26,"Larceny, Traffic Offenses","CUBA, MEXICO",
"Havre, MT",48.5536972,-109.677802,2,04/09/26 - 04/09/26,"Immigration, Smuggling",ROMANIA,
"Wimington, DE",39.7459468,-75.546589,2,02/21/25 - 03/17/25,"Assault, Larceny","DOMINICAN REPUBLIC, MEXICO",
"Winamac, IN",41.0514299,-86.6030648,2,06/20/25 - 11/23/25,"Obstructing Judiciary, Congress, Legislature, Etc., Sexual Assault","EL SALVADOR, HONDURAS",
"Albquerque, NM",35.0841034,-106.6509851,2,02/18/25 - 06/24/25,,"COLOMBIA, VENEZUELA",
"Albertiville, AL",34.2675937,-86.2088669,2,04/21/25 - 04/21/25,"General Crimes, Traffic Offenses","GUATEMALA, MEXICO",
"Yorba Linda, CA",33.8901096,-117.8249703,2,08/18/25 - 01/18/26,Sexual Assault,"COLOMBIA, GUATEMALA",
"4Knoxville, TN",35.9603948,-83.9210261,2,02/23/25 - 02/23/25,Traffic Offenses,GUATEMALA,
"60001, IL",36.2306467,43.9916865,2,10/22/25 - 10/22/25,"Immigration, Obstructing Judiciary, Congress, Legislature, Etc.","HONDURAS, INDIA",
"85009, AZ",33.4643688,-112.1285588,2,03/12/25 - 09/21/25,"Dangerous Drugs, Fraudulent Activities",MEXICO,
"New London, NC",35.4431965,-80.2192225,2,09/09/25 - 12/29/25,"Dangerous Drugs, General Crimes","HONDURAS, MEXICO",
"Ypsillanti, MI",42.241051,-83.61176462,2,04/03/25 - 04/03/25,"Liquor, Traffic Offenses",MEXICO,
"Woodshole, MA",33.9108509,-117.3755447,2,05/28/25 - 05/28/25,,"BRAZIL, DOMINICAN REPUBLIC",
"Woodbourne, NY",41.7614715,-74.599049,2,03/21/25 - 04/15/25,"Assault, Robbery","COLOMBIA, JAMAICA",✅
"Newman, CA",37.3139487,-121.0204222,2,09/23/25 - 01/19/26,"General Crimes, Traffic Offenses",MEXICO,
"Hext, OK",35.2475512,-99.7528779,2,09/23/25 - 09/24/25,Dangerous Drugs,MEXICO,
"Sidney, NE",41.1448682,-102.9767382,2,12/11/25 - 03/25/26,"Flight / Escape, Fraudulent Activities","MEXICO, VENEZUELA",
"Bruceville-Eddy, TX",31.3088208,-97.2462207,2,03/25/26 - 03/27/26,,"HONDURAS, MEXICO",
"Helena, OK",36.5461432,-98.2700706,2,12/26/25 - 12/26/25,"Assault, Weapon Offenses","GUATEMALA, HONDURAS",
"99, TX",30.1748638,-95.5524619,2,07/11/25 - 09/03/25,"Assault, Robbery","HONDURAS, TRINIDAD AND TOBAGO",
"Wrightstown, NJ",40.0362241,-74.6179344,2,03/12/25 - 01/21/26,"Robbery, Weapon Offenses","HONDURAS, PHILIPPINES",✅
"Worcerster, MA",42.2625621,-71.8018877,2,11/17/25 - 11/17/25,"Assault, Traffic Offenses","COLOMBIA, HAITI",
"Worchester, MA",46.4445499,-86.2817218,2,05/16/25 - 05/22/25,"Assault, Immigration","DOMINICAN REPUBLIC, VIETNAM",
"70 Arcadia, FL",30.1903446,-82.6228766,2,06/17/25 - 06/17/25,"Assault, Traffic Offenses","GUATEMALA, NICARAGUA",
"Youngwood, PA",40.240348,-79.5767066,2,06/11/25 - 11/19/25,Traffic Offenses,"ECUADOR, MAURITANIA",
"350 West 1St Street, CA",33.7433621,-118.2846106,2,10/15/25 - 10/15/25,Traffic Offenses,MEXICO,
"Dequincy, LA",30.4499652,-93.4341349,2,03/24/25 - 12/10/25,"Assault, Traffic Offenses","DOMINICAN REPUBLIC, MEXICO",
"7047, NJ",40.4736381,-74.286293,1,01/27/26 - 01/27/26,,GUATEMALA,
"802, VI",45.1652584,-89.1258398,1,01/09/26 - 01/09/26,,DOMINICAN REPUBLIC,
"7114, NJ",40.7651803,-74.0144696,1,04/14/26 - 04/14/26,Assault,PANAMA,
"75013, TX",33.1129846,-96.6891105,1,03/26/26 - 03/26/26,,EL SALVADOR,
"75202, TX",32.7805535,-96.8041483,1,07/30/25 - 07/30/25,Invasion of Privacy,GUATEMALA,
"76645, TX",32.0094997,-97.1139769,1,05/04/26 - 05/04/26,Traffic Offenses,MEXICO,
"85004, AZ",33.4617694,-112.0702265,1,04/16/25 - 04/16/25,Dangerous Drugs,MEXICO,
"78520, TX",25.9330206,-97.5113821,1,04/27/26 - 04/27/26,,MEXICO,
"78602, TX",30.1120848,-97.3239499,1,01/29/26 - 01/29/26,Assault,HONDURAS,
"78613, TX",30.5077078,-97.8034367,1,03/16/25 - 03/16/25,,VENEZUELA,
"Wyatt, RI",41.8014694,-71.4068601,1,08/21/25 - 08/21/25,Assault,GUATEMALA,
"Wyndanch, NY",40.750756,-73.36579836,1,08/21/25 - 08/21/25,Invasion of Privacy,PERU,
"Wynnewood, OK",34.6434171,-97.1644656,1,04/21/26 - 04/21/26,,GUATEMALA,
"84199, UT",40.7276672,-111.9407707,1,08/27/25 - 08/27/25,,MEXICO,
"Wysox, PA",41.7745124,-76.399314,1,08/16/25 - 08/16/25,Traffic Offenses,HONDURAS,
"55408, MN",44.945728,-93.2882917,1,02/08/26 - 02/08/26,Assault,NICARAGUA,
"630 Sansome St., CA",37.796256,-122.4014395,1,09/25/25 - 09/25/25,,COLOMBIA,
"Henning, TN",35.6728565,-89.5734096,1,05/21/25 - 05/21/25,Homicide,MEXICO,✅
"24450, VA",37.7897808,-79.4655657,1,02/13/26 - 02/13/26,Weapon Offenses,HONDURAS,
"30046, GA",33.9550813,-83.9912357,1,10/31/25 - 10/31/25,Assault,HONDURAS,
"330 S Salisbury, NC",35.6709727,-80.4742261,1,05/04/26 - 05/04/26,Traffic Offenses,MEXICO,
"0, TX",31.891724,-102.3422164,1,01/21/26 - 01/21/26,Immigration,HONDURAS,
"A, IN",39.529241,-85.7647241,1,04/30/25 - 04/30/25,Dangerous Drugs,MEXICO,
"Helena, GA",32.0679541,-82.9006993,1,04/02/25 - 04/02/25,Homicide,EL SALVADOR,
"Wrightsvil, AR",32.729674,-82.719384,1,04/24/25 - 04/24/25,Sexual Assault,GUATEMALA,
"Wortham., TX",31.7879419,-96.4624814,1,04/22/26 - 04/22/26,,MEXICO,
"Wpb, FL",26.7133207,-80.0564087,1,10/08/25 - 10/08/25,,HONDURAS,
"95336, CA",37.8188493,-121.2424199,1,10/20/25 - 10/20/25,Weapon Offenses,INDIA,
"Hettinger, ND",46.4448014,-102.4167046,1,06/25/25 - 06/25/25,,HONDURAS,
"Woodworth, LA",31.1465757,-92.4973598,1,05/17/25 - 05/17/25,Stolen Property,MEXICO,
"Yavapai, AZ",34.5668857,-112.5515965,1,07/27/25 - 07/27/25,Traffic Offenses,NEPAL,
"Wooster, RI",40.7980976,-81.9397733,1,12/08/25 - 12/08/25,Traffic Offenses,MEXICO,
"Woodville, MS",31.1026366,-91.2990512,1,10/05/25 - 10/05/25,Dangerous Drugs,PAKISTAN,
"New Lisbon, WI",43.8796288,-90.1662033,1,11/06/25 - 11/06/25,Forgery,MEXICO,
"Diamondhead, MS",30.3946392,-89.3639378,1,04/21/26 - 04/21/26,,CONGO,
"Dickinson, MN",44.1611565,-93.9827327,1,09/04/25 - 09/04/25,,MEXICO,
"Desoto, FL",27.190253,-81.8244232,1,12/03/25 - 12/03/25,Traffic Offenses,NICARAGUA,
"Des Moiens, IA",41.5868654,-93.6249494,1,08/22/25 - 08/22/25,Traffic Offenses,MEXICO,
"Dewitt, AR",34.2928774,-91.3378987,1,04/16/25 - 04/16/25,Threat,MEXICO,
"Dexter, MI",42.3372998,-83.8842,1,11/25/25 - 11/25/25,Sexual Assault,MEXICO,
"Devils Lake, MN",45.8164273,-92.9634986,1,05/24/25 - 05/24/25,Traffic Offenses,NICARAGUA,
"Nj, NJ",40.7674185,-74.0212643,1,02/12/26 - 02/12/26,Traffic Offenses,GUATEMALA,
"Newton Falls, OH",41.18839,-80.978147,1,08/16/25 - 08/16/25,Assault,MEXICO,
"Newporrt News, VA",36.9775016,-76.42977,1,11/06/25 - 11/06/25,,EL SALVADOR,
"Newbury Park Road, CA",34.1844396,-118.9518071,1,06/20/25 - 06/20/25,,GUATEMALA,
"Derby, VT",44.9354168,-72.120284,1,08/14/25 - 08/14/25,Immigration,HONDURAS,
"Newton, NJ",41.0583121,-74.7531445,1,05/18/25 - 05/18/25,General Crimes,EL SALVADOR,
"Newberry, FL",29.6463535,-82.6065023,1,08/01/25 - 08/01/25,Fraudulent Activities,GUYANA,
"Detroi, MI",42.3315509,-83.0466403,1,03/03/26 - 03/03/26,,VENEZUELA,
"Neweark, NJ",40.735657,-74.1723667,1,09/20/25 - 09/20/25,,GUATEMALA,
"Nixion, TX",29.2696579,-97.7625132,1,03/08/26 - 03/08/26,,MEXICO,
"New Castle, WY",41.0008782,-80.3453745,1,04/01/26 - 04/01/26,Sex Offenses (Not Involving Assault or Commercialized Sex),MEXICO,
"New Centry, KS",38.8305804,-94.8880611,1,03/16/25 - 03/16/25,Dangerous Drugs,MEXICO,
"New Sewickley, PA",40.7233677,-80.1997199,1,01/29/26 - 01/29/26,,COLOMBIA,
"New Csatle, IN",39.9289351,-85.3702477,1,08/13/25 - 08/13/25,Assault,GUATEMALA,
"New Philidelphia, OH",40.4897871,-81.4456706,1,07/22/25 - 07/22/25,Traffic Offenses,GUATEMALA,
"New Market, MN",44.5730194,-93.3535568,1,01/24/26 - 01/24/26,,VENEZUELA,
"New Miami, OH",39.4347787,-84.5368907,1,01/01/26 - 01/01/26,,GUATEMALA,
